Group,Date,Spend USD,Impressions,Reach,Website Clicks,Searches,View Content,Add to Cart,Purchase
Control,1.08.2019,2280,82702,56930,7016,2290,2159,1819,618
Control,2.08.2019,1757,121040,102513,8110,2033,1841,1219,511
Control,3.08.2019,2343,131711,110862,6508,1737,1549,1134,372
Control,4.08.2019,1940,72878,61235,3065,1042,982,1183,340
Control,5.08.2019,1835,,,,,,,
Control,6.08.2019,3083,109076,87998,4028,1709,1249,784,764
Control,7.08.2019,2544,142123,127852,2640,1388,1106,1166,499
Control,8.08.2019,1900,90939,65217,7260,3047,2746,930,462
Control,9.08.2019,2813,121332,94896,6198,2487,2179,645,501
Control,10.08.2019,2149,117624,91257,2277,2475,1984,1629,734
Control,11.08.2019,2490,115247,95843,8137,2941,2486,1887,475
Control,12.08.2019,2319,116639,100189,2993,1397,1147,1439,794
Control,13.08.2019,2697,82847,68214,6554,2390,1975,1794,766
Control,14.08.2019,1875,145248,118632,4521,1209,1149,1339,788
Control,15.08.2019,2774,132845,102479,4896,1179,1005,1641,366
Control,16.08.2019,2024,71274,42859,5224,2427,2158,1613,438
Control,17.08.2019,2177,119612,106518,6628,1756,1642,878,222
Control,18.08.2019,1876,108452,96518,7253,2447,2115,1695,243
Control,19.08.2019,2596,107890,81268,3706,2483,2098,908,542
Control,20.08.2019,2675,113430,78625,2578,1001,848,1709,299
Control,21.08.2019,1803,74654,59873,5691,2711,2496,1460,800
Control,22.08.2019,2939,105705,86218,6843,3102,2988,819,387
Control,23.08.2019,2496,129880,109413,4410,2896,2496,1913,766
Control,24.08.2019,1892,72515,51987,4085,1274,1149,1146,585
Control,25.08.2019,1962,117006,100398,4234,2423,2096,883,386
Control,26.08.2019,2233,124897,98432,5435,2847,2421,1448,251
Control,27.08.2019,2061,104678,91579,4941,3549,3249,980,605
Control,28.08.2019,2421,141654,125874,6287,1672,1589,1711,643
Control,29.08.2019,2375,92029,74192,8127,4891,4219,1486,334
Control,30.08.2019,2324,111306,88632,4658,1615,1249,442,670
Treatment,1.08.2019,3008,39550,35820,3038,1946,1069,894,255
Treatment,2.08.2019,2542,100719,91236,4657,2359,1548,879,677
Treatment,3.08.2019,2365,70263,45198,7885,2572,2367,1268,578
Treatment,4.08.2019,2710,78451,25937,4216,2216,1437,566,340
Treatment,5.08.2019,2297,114295,95138,5863,2106,858,956,768
Treatment,6.08.2019,2458,42684,31489,7488,1854,1073,882,488
Treatment,7.08.2019,2838,53986,42148,4221,2733,2182,1301,890
Treatment,8.08.2019,2916,33669,20149,7184,2867,2194,1240,431
Treatment,9.08.2019,2652,45511,31598,8259,2899,2761,1200,845
Treatment,10.08.2019,2790,95054,79632,8125,2312,1804,424,275
Treatment,11.08.2019,2420,83633,71286,3750,2893,2617,1075,668
Treatment,12.08.2019,2831,124591,10598,8264,2081,1992,1382,709
Treatment,13.08.2019,1972,65827,49531,7568,2213,2058,1391,812
Treatment,14.08.2019,2537,56304,25982,3993,1979,1059,779,340
Treatment,15.08.2019,2516,94338,76219,4993,2537,1609,1090,398
Treatment,16.08.2019,3076,106584,81389,6800,2661,2594,1059,487
Treatment,17.08.2019,1968,95843,54389,7910,1995,1576,383,238
Treatment,18.08.2019,1979,53632,43241,6909,2824,2522,461,257
Treatment,19.08.2019,2626,22521,10698,7617,2924,2801,788,512
Treatment,20.08.2019,2712,39470,31893,6050,2061,1894,1047,730
Treatment,21.08.2019,3112,133771,109834,5471,1995,1868,278,245
Treatment,22.08.2019,2899,34752,27932,4431,1983,1131,367,276
Treatment,23.08.2019,2407,60286,49329,5077,2592,2004,632,473
Treatment,24.08.2019,2078,36650,30489,7156,2687,2427,327,269
Treatment,25.08.2019,2928,120576,105978,3596,2937,2551,1228,651
Treatment,26.08.2019,2311,80841,61589,3820,2037,1046,346,284
Treatment,27.08.2019,2915,111469,92159,6435,2976,2552,992,771
Treatment,28.08.2019,2247,54627,41267,8144,2432,1281,1009,721
Treatment,29.08.2019,2805,67444,43219,7651,1920,1240,1168,677
Treatment,30.08.2019,1977,120203,89380,4399,2978,1625,1034,572
